Afghanistan, 25500100
Albania, 2821977
Algeria, 38700000
Andorra, 76098
Angola, 19183590
Antigua and Barbuda, 86295
Argentina, 42669500
Armenia, 3017400
Australia, 23545500
Austria, 8504850
Azerbaijan, 9477100
Bahamas, 351461
Bahrain, 1234571
Bangladesh, 156557000
Barbados, 285000
Belarus, 9467000
Belgium, 11198638
Belize, 349728
Benin, 9988068
Bhutan, 749090
Bolivia, 10027254
Bosnia and Herzegovina, 3791622
Botswana, 2024904
Brazil, 202794000
Brunei, 393162
Bulgaria, 7245677
Burkina Faso, 17322796
Burundi, 9420248
Cambodia, 15184116
Cameroon, 20386799
Canada, 35427524
Cape Verde, 491875
Côte d'Ivoire, 22400835
Central African Republic, 4709000
Chad, 13211000
Chile, 17773000
China, 1365370000
Colombia, 47662000
Comoros, 743798
Costa Rica, 4667096
Croatia, 4290612
Cuba, 11167325
Cyprus, 865878
Czech Republic, 10517400
Denmark, 5634437
Djibouti, 886000
Dominica, 71293
Dominican Republic, 9445281